Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,season
Benjamin Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1434,32,220,688,539,10,1434,27,19,70.4,8,29.6,1010,4046,2269,60,58,5,13,17,1069,176,19/20
Nampalys Mendy,sn SEN,MF,Leicester City,27,1992,3.2,249,6,49,168,32,1,249,2,1,50,1,50,176,715,306,1,6,0,5,2,187,6,19/20
Chris Mepham,wls WAL,DF,Bournemouth,21,1997,10.1,645,104,360,263,24,15,645,5,3,60,2,40,411,2159,1247,4,1,0,5,4,380,3,19/20
Max Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,289,2,59,134,101,16,289,13,6,46.2,7,53.8,179,1074,359,9,8,1,11,15,211,32,19/20
Luka Milivojević,rs SRB,MF,Crystal Palace,28,1991,27.9,1844,92,494,1022,345,9,1842,11,7,63.6,4,36.4,829,3821,1748,7,15,2,24,13,1000,11,19/20
James Milner,eng ENG,MFDF,Liverpool,33,1986,10.4,888,26,150,518,228,11,886,11,10,90.9,1,9.1,621,2276,1089,18,17,1,9,6,648,42,19/20
Yerry Mina,co COL,DF,Everton,24,1994,25.4,1632,226,906,662,73,48,1632,8,6,75,2,25,980,5913,3160,11,8,0,7,0,986,4,19/20
Takumi Minamino,jp JPN,FWMF,Liverpool,24,1995,2.8,146,4,13,73,62,12,146,10,4,40,6,60,108,580,200,8,2,1,10,5,121,22,19/20
Tyrone Mings,eng ENG,DF,Aston Villa,26,1993,32.2,1754,357,1094,627,55,23,1754,12,12,100,0,0,987,5906,2717,12,6,0,10,5,1007,11,19/20
Tyrick Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,151,7,39,75,37,1,151,3,1,33.3,2,66.7,76,337,217,5,3,0,1,3,85,8,19/20
Henrikh Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,94,1,7,37,50,14,94,7,2,28.6,5,71.4,48,287,122,3,4,0,4,3,75,19,19/20
Nacho Monreal,es ESP,DF,Arsenal,33,1986,3,233,16,88,89,57,5,233,4,2,50,2,50,128,508,295,4,4,3,3,1,159,14,19/20
Martín Montoya,es ESP,DFMF,Brighton,28,1991,21.1,1512,64,412,669,447,35,1512,29,10,34.5,19,65.5,709,3945,2410,57,43,7,34,11,913,117,19/20
Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,51,43,50,1,0,0,51,0,0,,0,,18,140,93,0,0,0,0,0,10,0,19/20
Aaron Mooy,au AUS,MFFW,Brighton,28,1990,23.2,1362,42,170,624,583,38,1362,56,38,67.9,18,32.1,765,4655,2277,71,50,12,44,42,929,135,19/20
Wesley Moraes,br BRA,FW,Aston Villa,22,1996,19.8,577,29,46,264,270,79,576,24,12,50,12,50,303,1385,341,13,10,6,58,18,441,89,19/20
Wes Morgan,jm JAM,DF,Leicester City,35,1984,4.8,292,20,131,155,7,4,292,2,2,100,0,0,176,708,289,1,0,0,1,1,196,1,19/20
Ravel Morrison,jm JAM,MF,Sheffield Utd,26,1993,0.1,7,0,0,4,3,1,7,0,0,,0,,5,27,13,1,0,0,0,1,6,0,19/20
Mason Mount,eng ENG,MFFW,Chelsea,20,1999,31.9,1735,24,142,762,850,123,1735,71,40,56.3,31,43.7,1094,6001,3053,101,83,22,80,53,1236,221,19/20
Lucas Moura,br BRA,FWMF,Tottenham,26,1992,24.9,1175,29,135,570,497,78,1175,109,72,66.1,37,33.9,794,4916,2418,79,63,22,60,74,827,140,19/20
Lys Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,426,3,18,175,235,77,426,41,28,68.3,13,31.7,260,1452,674,30,20,17,51,38,315,93,19/20
João Moutinho,pt POR,MF,Wolves,32,1986,34.5,2327,44,401,1292,651,6,2327,21,15,71.4,6,28.6,1083,5124,2689,38,37,0,20,21,1367,51,19/20
Glenn Murray,eng ENG,FW,Brighton,35,1983,8.9,255,14,19,100,137,37,255,5,0,0,5,100,122,419,111,6,4,5,25,15,203,66,19/20
Shkodran Mustafi,de GER,DF,Arsenal,27,1992,13.4,988,112,471,491,30,15,988,3,3,100,0,0,629,3439,2160,7,4,0,4,1,680,6,19/20
Yoshinori Mutō,jp JPN,MFFW,Newcastle Utd,27,1992,2.4,56,0,6,29,23,5,56,9,5,55.6,4,44.4,41,280,118,4,3,2,9,2,38,10,19/20
Georges-Kévin N'Koudou,cm CMR,FW,Tottenham,24,1995,0,1,0,0,0,1,1,1,0,0,,0,,1,25,24,1,0,1,0,0,1,1,19/20
Marvelous Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.4,1042,90,333,585,134,2,1042,19,14,73.7,5,26.3,478,2489,927,10,13,1,25,10,543,8,19/20
Wilfred Ndidi,ng NGA,MF,Leicester City,22,1996,29.7,2110,97,558,1310,262,23,2110,32,22,68.8,10,31.3,1146,4500,1518,13,15,0,33,26,1227,19,19/20
Tanguy Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,781,19,133,467,195,17,781,49,38,77.6,11,22.4,525,2503,1323,22,20,5,23,24,574,33,19/20
Reiss Nelson,eng ENG,FW,Arsenal,19,1999,7,318,4,44,135,149,26,318,32,17,53.1,15,46.9,210,1479,739,30,16,10,15,13,234,58,19/20
Pedro Neto,pt POR,FWMF,Wolves,19,2000,10.4,548,3,55,247,261,40,548,61,32,52.5,29,47.5,355,3078,1512,53,40,20,31,18,380,101,19/20
Rúben Neves,pt POR,MF,Wolves,22,1997,34,2374,74,507,1536,347,3,2374,26,22,84.6,4,15.4,1232,4825,2393,19,31,0,17,10,1559,23,19/20
Jeremy Ngakia,eng ENG,DF,West Ham,18,2000,4.9,225,16,98,91,38,1,225,14,9,64.3,5,35.7,92,660,349,10,11,0,6,2,84,9,19/20
Oumar Niasse,sn SEN,FW,Everton,29,1990,0.2,12,0,0,5,8,0,12,0,0,,0,,10,72,9,0,1,0,2,5,10,2,19/20
Eddie Nketiah,eng ENG,FW,Arsenal,20,1999,7,218,8,23,110,88,29,218,17,10,58.8,7,41.2,153,866,396,19,5,5,21,15,169,38,19/20
Mark Noble,eng ENG,MF,West Ham,32,1987,29.7,1774,31,295,1113,381,27,1771,35,25,71.4,10,28.6,1019,4646,1970,26,29,5,42,31,1192,53,19/20
Oliver Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,2465,77,505,1449,532,2,2464,9,9,100,0,0,1023,3408,1387,7,14,0,20,4,1487,26,19/20
Ørjan Nyland,no NOR,GK,Aston Villa,28,1990,6,191,162,187,4,0,0,191,0,0,,0,,91,680,445,0,0,0,1,0,70,0,19/20
Jack O'Connell,eng ENG,DF,Sheffield Utd,25,1994,32.4,2037,170,830,936,280,48,2037,16,9,56.3,7,43.8,858,3092,1514,12,21,2,20,10,1153,59,19/20
Michael Obafemi,ie IRL,FW,Southampton,19,2000,7.4,239,0,14,109,125,34,239,24,14,58.3,10,41.7,140,752,236,8,5,7,40,15,175,52,19/20
Angelo Ogbonna,it ITA,DF,West Ham,31,1988,31,1301,211,674,582,49,29,1301,5,5,100,0,0,607,3429,1407,5,5,1,8,2,620,5,19/20
Divock Origi,be BEL,FW,Liverpool,24,1995,8,323,6,25,114,186,38,323,26,12,46.2,14,53.8,229,1526,766,37,18,10,28,12,259,90,19/20
Ben Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,322,16,63,132,130,16,322,8,4,50,4,50,172,682,293,7,6,0,5,0,198,23,19/20
Nicolás Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1715,165,625,1040,54,34,1715,3,3,100,0,0,1282,7406,4328,14,12,0,11,2,1355,4,19/20
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,16.5,980,15,86,485,419,40,980,49,29,59.2,20,40.8,667,3479,1598,48,39,7,44,23,729,95,19/20
Mesut Özil,de GER,MF,Arsenal,30,1988,16,1009,7,103,465,450,38,1009,22,16,72.7,6,27.3,591,3833,1797,48,39,4,25,22,797,136,19/20
Emerson Palmieri,it ITA,DF,Chelsea,24,1994,11.4,1009,35,241,446,330,26,1009,16,12,75,4,25,578,2984,1726,39,30,7,16,8,657,87,19/20
Sokratis Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,1215,185,715,462,41,13,1215,5,5,100,0,0,739,3500,1966,5,3,0,4,5,859,5,19/20
Troy Parrott,ie IRL,FW,Tottenham,17,2002,0.1,5,0,1,4,0,0,5,0,0,,0,,5,16,1,0,0,0,0,0,5,0,19/20
Rui Patrício,pt POR,GK,Wolves,31,1988,38,909,846,908,1,0,0,909,0,0,,0,,376,2655,1695,0,0,0,0,0,234,1,19/20
Pedro,es ESP,FWMF,Chelsea,32,1987,7.3,431,4,49,208,182,35,431,21,12,57.1,9,42.9,310,1792,793,24,19,9,18,9,320,52,19/20
Nicolas Pépé,ci CIV,FW,Arsenal,24,1995,22.3,1117,10,135,394,620,86,1116,133,72,54.1,61,45.9,745,5947,3041,98,64,39,61,53,826,191,19/20
Andreas Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,973,12,89,451,442,48,973,33,20,60.6,13,39.4,554,3151,1596,49,35,13,44,41,715,102,19/20
Ricardo Pereira,pt POR,DF,Leicester City,25,1993,28,2401,102,595,1125,701,56,2401,101,60,59.4,41,40.6,1338,6824,4433,116,94,20,44,31,1471,138,19/20
Roberto Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,880,15,132,394,372,52,879,53,20,37.7,33,62.3,585,3601,1667,50,32,14,47,27,601,102,19/20
Ayoze Pérez,es ESP,MFFW,Leicester City,26,1993,22.3,1086,13,126,472,497,115,1085,68,36,52.9,32,47.1,694,2975,1475,47,34,28,63,58,791,159,19/20
Jordan Pickford,eng ENG,GK,Everton,25,1994,38,1456,1226,1439,17,0,0,1456,0,0,,0,,821,5000,2985,0,0,0,2,0,647,0,19/20
Brandon Pierrick,eng ENG,MFFW,Crystal Palace,17,2001,0.2,13,1,1,3,9,1,13,0,0,,0,,4,37,19,1,0,0,2,1,5,1,19/20
Erik Pieters,nl NED,DFMF,Burnley,30,1988,20.9,1210,72,294,639,286,14,1210,12,4,33.3,8,66.7,533,2385,1236,21,30,2,24,6,588,39,19/20
Daniel Podence,pt POR,FWMF,Wolves,23,1995,3.2,145,2,16,50,83,12,145,11,7,63.6,4,36.4,106,741,432,18,11,1,8,4,119,24,19/20
Paul Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,1175,32,211,713,262,26,1174,38,27,71.1,11,28.9,712,3122,1585,27,20,5,19,32,912,30,19/20
Nick Pope,eng ENG,GK,Burnley,27,1992,38,1280,986,1239,40,1,1,1280,0,0,,0,,613,4417,3490,0,0,0,1,0,375,0,19/20
Dennis Praet,be BEL,MF,Leicester City,25,1994,12.6,713,20,151,356,213,18,713,25,12,48,13,52,440,1904,801,10,18,2,27,17,460,42,19/20
Sebastian Prödl,at AUT,DF,Watford,32,1987,0.6,17,3,7,8,2,2,17,0,0,,0,,3,5,1,0,0,0,0,0,7,0,19/20
Davy Pröpper,nl NED,MF,Brighton,27,1991,31.4,2159,67,457,1321,411,29,2159,64,46,71.9,18,28.1,1200,7176,3405,55,49,7,61,24,1519,43,19/20
Teemu Pukki,fi FIN,FW,Norwich City,29,1990,32.1,792,16,59,298,442,156,790,43,24,55.8,19,44.2,447,2669,1213,46,24,35,58,34,527,194,19/20
Christian Pulisic,us USA,FW,Chelsea,20,1998,19.1,1005,6,100,390,532,128,1005,108,55,50.9,53,49.1,744,5476,2966,107,80,47,53,63,830,188,19/20
Ignacio Pussetto,ar ARG,FWMF,Watford,23,1995,0.8,60,3,21,26,14,1,60,5,2,40,3,60,24,139,34,1,0,0,3,2,22,0,19/20
Domingos Quina,pt POR,MFFW,Watford,19,1999,0.2,23,0,5,14,4,0,23,2,1,50,1,50,13,67,23,1,0,0,2,1,12,0,19/20
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,1998,37,1246,1088,1232,13,1,0,1246,0,0,,0,,662,4021,2641,0,0,0,0,0,403,0,19/20
Darren Randolph,ie IRL,GK,West Ham,32,1987,2,48,42,48,0,0,0,48,0,0,,0,,13,145,122,0,0,0,0,0,10,0,19/20
Marcus Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,1344,21,75,463,823,152,1336,122,60,49.2,62,50.8,802,5659,3008,105,80,49,66,34,1077,250,19/20
Nathan Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,1442,30,178,636,677,110,1442,123,79,64.2,44,35.8,908,6983,3500,126,81,52,73,52,990,200,19/20
Pepe Reina,es ESP,GK,Aston Villa,36,1982,12,433,370,426,7,0,0,433,0,0,,0,,195,1258,757,0,0,0,1,0,166,0,19/20
Declan Rice,eng ENG,MF,West Ham,20,1999,38,2144,105,581,1336,269,24,2144,65,49,75.4,16,24.6,1230,7483,3343,52,47,3,26,21,1278,36,19/20
Richarlison,br BRA,FWMF,Everton,22,1997,34.1,1344,49,170,522,685,173,1344,111,61,55,50,45,855,5801,2545,95,68,44,92,74,938,222,19/20
Diego Rico,es ESP,DF,Bournemouth,26,1993,25.9,1866,101,646,761,470,10,1866,24,13,54.2,11,45.8,830,3586,1953,42,37,1,26,21,835,81,19/20
Jaïro Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,478,29,135,251,95,5,478,11,8,72.7,3,27.3,188,847,400,8,7,0,11,7,248,20,19/20
Matt Ritchie,sct SCO,DFMF,Newcastle Utd,29,1989,14.6,855,41,210,364,290,14,854,14,8,57.1,6,42.9,425,2073,1072,23,23,2,20,7,466,43,19/20
Roberto,es ESP,GK,West Ham,33,1986,7.6,258,229,257,1,0,0,258,0,0,,0,,117,768,619,0,0,0,1,0,78,0,19/20
Patrick Roberts,eng ENG,FWMF,Norwich City,22,1997,0.3,11,0,2,7,4,0,11,4,4,100,0,0,9,84,52,1,2,0,0,0,9,2,19/20
Andrew Robertson,sct SCO,DF,Liverpool,25,1994,34.6,3296,89,622,1575,1129,83,3296,44,22,50,22,50,2152,10659,6603,149,115,20,50,9,2317,277,19/20
Callum Robinson,ie IRL,FWMF,Sheffield Utd,24,1995,7.5,222,0,19,97,109,23,222,13,5,38.5,8,61.5,131,688,301,12,6,3,16,17,154,50,19/20
Jack Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,343,35,136,186,24,1,343,2,2,100,0,0,179,829,517,4,1,0,4,1,183,1,19/20
Rodri,es ESP,MF,Manchester City,23,1996,27.6,2809,82,518,1848,471,28,2809,33,30,90.9,3,9.1,2085,9707,5115,41,71,1,22,28,2212,21,19/20
Jay Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,779,20,68,323,398,82,778,39,18,46.2,21,53.8,444,2110,746,31,27,14,62,43,551,126,19/20
Jack Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,3,1,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,19/20
Marcos Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,74,8,25,37,12,2,74,1,0,0,1,100,33,137,70,0,1,0,0,0,41,1,19/20
Oriol Romeu,es ESP,MF,Southampton,27,1991,20.7,1291,66,268,869,165,4,1291,16,13,81.3,3,18.8,584,2523,1221,17,22,0,14,4,733,13,19/20
Danny Rose,eng ENG,DF,Tottenham,29,1990,9.9,680,45,182,322,184,13,680,20,10,50,10,50,384,1884,1155,23,15,2,11,5,423,30,19/20
Danny Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,497,22,152,281,69,4,497,9,5,55.6,4,44.4,301,1381,772,4,12,0,6,1,291,21,19/20
Antonio Rüdiger,de GER,DF,Chelsea,26,1993,19,1667,152,738,872,68,16,1667,4,3,75,1,25,1145,6329,3816,11,23,0,5,3,1216,0,19/20
Lukas Rupp,de GER,FWMF,Norwich City,28,1991,7.7,352,22,88,182,85,13,352,6,4,66.7,2,33.3,196,793,233,3,5,1,15,18,218,23,19/20
Mathew Ryan,au AUS,GK,Brighton,27,1992,38,1563,1258,1557,6,0,0,1563,0,0,,0,,907,4733,2872,0,0,0,2,0,852,0,19/20
Allan Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,766,12,115,310,388,78,766,180,121,67.2,59,32.8,616,6374,3852,125,74,46,73,51,561,92,19/20
Romain Saïss,ma MAR,DF,Wolves,29,1990,30.1,1996,162,859,1056,88,28,1996,10,7,70,3,30,926,3842,2349,10,8,2,13,5,1192,9,19/20
Bukayo Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,1048,35,250,409,395,59,1048,55,32,58.2,23,41.8,602,3892,2172,67,41,24,42,22,692,143,19/20
Mamadou Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,641,92,368,271,9,3,641,5,4,80,1,20,357,1518,730,1,2,0,6,5,400,2,19/20
Mohamed Salah,eg EGY,FW,Liverpool,27,1992,32,1368,4,59,385,935,291,1365,83,50,60.2,33,39.8,1037,5484,2722,105,51,72,88,67,1090,347,19/20
Mbwana Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,270,7,13,124,137,33,270,15,9,60,6,40,137,657,154,6,4,1,26,12,195,49,19/20
Carlos Sánchez,co COL,MF,West Ham,33,1986,1.3,64,3,10,48,6,0,64,1,1,100,0,0,29,97,14,0,0,0,0,1,34,0,19/20
Davinson Sánchez,co COL,DF,Tottenham,23,1996,27,1857,256,928,895,46,15,1857,10,8,80,2,20,1188,4972,2501,10,10,1,12,6,1213,9,19/20
Leroy Sané,de GER,FW,Manchester City,23,1996,0.1,9,0,0,2,7,1,9,0,0,,0,,7,39,19,2,1,1,0,0,8,4,19/20
Ismaila Sarr,sn SEN,FWMF,Watford,21,1998,22.5,868,11,92,308,490,102,868,96,47,49,49,51,680,5012,2630,107,72,34,75,56,678,200,19/20
Fabian Schär,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,1053,123,516,459,96,19,1053,24,16,66.7,8,33.3,530,2962,1818,20,16,2,14,5,556,6,19/20
Ezequiel Schelotto,it ITA,DF,Brighton,30,1989,4,232,16,73,75,86,8,232,8,5,62.5,3,37.5,114,840,433,15,13,2,13,6,129,40,19/20
Jeffrey Schlupp,gh GHA,FWMF,Crystal Palace,26,1992,11.5,486,14,104,230,159,30,486,24,13,54.2,11,45.8,245,1519,636,23,17,12,25,16,314,53,19/20
Kasper Schmeichel,dk DEN,GK,Leicester City,32,1986,38,1264,1054,1246,18,0,0,1264,1,0,0,1,100,693,3306,2092,0,0,0,1,0,561,0,19/20
Morgan Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,685,26,155,443,91,4,685,3,3,100,0,0,396,1575,631,4,6,0,7,4,435,3,19/20
Ryan Sessegnon,eng ENG,DFFW,Tottenham,19,2000,3.8,233,7,50,104,82,9,233,6,4,66.7,2,33.3,151,636,418,13,7,3,10,1,147,24,19/20
Xherdan Shaqiri,ch SUI,FWMF,Liverpool,27,1991,2.1,125,0,14,68,43,2,125,4,2,50,2,50,93,331,114,1,0,0,2,6,95,15,19/20
Billy Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,320,2,25,103,198,55,320,22,16,72.7,6,27.3,219,1166,470,18,9,7,35,31,254,106,19/20
Luke Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1508,75,417,674,428,34,1508,31,22,71,9,29,788,4361,2649,60,47,8,15,3,976,103,19/20
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,1353,58,341,767,261,22,1353,20,15,75,5,25,714,3412,1579,22,19,7,24,10,806,28,19/20
Djibril Sidibé,fr FRA,DFMF,Everton,27,1992,20.3,1469,54,417,673,394,20,1469,25,14,56,11,44,778,3682,2009,61,43,4,28,12,810,102,19/20
Gylfi Sigurðsson,is ISL,MF,Everton,29,1989,28.4,1431,37,218,730,491,50,1430,30,16,53.3,14,46.7,720,2908,969,27,25,9,41,26,844,73,19/20
Bernardo Silva,pt POR,FWMF,Manchester City,24,1994,22.6,1711,19,171,698,859,142,1711,55,40,72.7,15,27.3,1256,7043,3846,117,63,48,24,21,1323,259,19/20
David Silva,es ESP,MF,Manchester City,33,1986,20.3,1709,20,130,754,837,172,1709,44,33,75,11,25,1225,5827,2952,82,71,31,34,19,1407,175,19/20
Jack Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,133,19,66,61,7,1,133,5,4,80,1,20,66,273,76,0,0,0,1,2,66,3,19/20
Moussa Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1585,69,371,888,355,30,1585,67,40,59.7,27,40.3,1014,5460,2846,72,39,10,39,21,1013,58,19/20
Oliver Skipp,eng ENG,MF,Tottenham,18,2000,0.9,46,2,14,29,3,0,46,0,0,,0,,27,72,39,0,1,0,1,1,28,0,19/20
William Smallbone,ie IRL,MF,Southampton,19,2000,4.4,255,2,41,143,74,7,255,1,0,0,1,100,129,525,246,4,3,1,5,2,182,13,19/20
Adam Smith,eng ENG,DF,Bournemouth,28,1991,22.8,1321,69,395,610,329,23,1321,51,24,47.1,27,52.9,732,4669,2653,75,52,6,27,14,728,69,19/20
Emile Smith Rowe,eng ENG,MF,Arsenal,19,2000,1.1,46,2,10,21,17,0,46,3,2,66.7,1,33.3,32,241,145,4,4,0,4,1,39,5,19/20
Robert Snodgrass,sct SCO,MFFW,West Ham,31,1987,16.8,802,15,124,306,383,47,802,36,19,52.8,17,47.2,407,2713,1084,44,23,20,16,25,494,117,19/20
Cédric Soares,pt POR,MFDF,Arsenal,27,1991,2.8,167,6,39,71,58,2,167,2,2,100,0,0,84,396,202,6,6,0,4,1,92,25,19/20
Cédric Soares,pt POR,DF,Southampton,27,1991,14.5,931,58,247,444,245,16,931,4,4,100,0,0,340,1839,941,29,25,2,18,9,409,46,19/20
Dominic Solanke,eng ENG,FW,Bournemouth,21,1997,18.3,667,18,76,289,308,75,667,62,26,41.9,36,58.1,418,2570,995,35,26,15,52,54,469,109,19/20
Tomáš Souček,cz CZE,MF,West Ham,24,1995,11.6,546,44,154,274,123,36,546,4,0,0,4,100,253,765,257,3,2,1,11,1,288,17,19/20
Çağlar Söyüncü,tr TUR,DF,Leicester City,23,1996,33.7,2700,263,1343,1303,65,33,2700,22,17,77.3,5,22.7,1779,8996,4279,22,10,0,17,2,1864,5,19/20
Dennis Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,31,1,4,16,11,3,31,5,2,40,3,60,20,47,6,0,0,0,1,3,22,4,19/20
Jack Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,964,87,351,416,207,22,964,23,16,69.6,7,30.4,498,2768,1566,38,21,6,15,11,478,57,19/20
Junior Stanislas,eng ENG,MFFW,Bournemouth,29,1989,7.9,387,9,65,133,192,18,386,18,11,61.1,7,38.9,220,1321,764,30,15,6,12,8,236,42,19/20
Jed Steer,eng ENG,GK,Aston Villa,26,1992,0.1,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,19/20
Dale Stephens,eng ENG,MF,Brighton,30,1989,28.1,1969,102,530,1199,250,7,1969,12,10,83.3,2,16.7,987,4706,1834,9,30,2,19,13,1336,14,19/20
Jack Stephens,eng ENG,DF,Southampton,25,1994,27.2,1592,196,720,832,52,20,1592,11,7,63.6,4,36.4,784,4165,2521,17,8,3,17,4,858,11,19/20
Raheem Sterling,eng ENG,FW,Manchester City,24,1994,29.5,1608,11,85,509,1030,271,1606,107,56,52.3,51,47.7,1216,7347,3969,151,69,91,67,60,1319,429,19/20
Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,2290,83,502,960,852,73,2290,84,61,72.6,22,26.2,1136,5912,3177,92,63,20,55,43,1336,197,19/20
Marco Stiepermann,de GER,MF,Norwich City,28,1991,13.1,561,28,84,270,212,39,561,29,17,58.6,12,41.4,358,1894,995,35,27,8,26,21,413,52,19/20
John Stones,eng ENG,DF,Manchester City,25,1994,12.5,1127,98,385,685,63,12,1127,5,5,100,0,0,835,5661,3594,22,24,0,3,0,869,1,19/20
Isaac Success,ng NGA,FWMF,Watford,23,1996,0.8,32,0,2,10,20,1,32,3,1,33.3,2,66.7,28,131,59,4,2,0,5,2,30,9,19/20
Ki Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,78,3,21,40,17,0,78,2,2,100,0,0,42,168,76,1,1,0,1,2,51,3,19/20
Andrew Surman,eng ENG,MF,Bournemouth,32,1986,2.6,152,9,52,82,20,0,152,0,0,,0,,87,311,102,1,1,0,4,2,85,1,19/20
Sam Surridge,eng ENG,FWMF,Bournemouth,21,1998,0.3,22,0,3,6,13,6,22,2,1,50,1,50,12,61,20,0,0,1,3,1,16,5,19/20
Japhet Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,325,35,135,162,32,2,325,7,6,85.7,1,14.3,175,751,390,3,3,0,13,5,161,7,19/20
Matt Targett,eng ENG,DFMF,Aston Villa,23,1995,25.5,1508,117,497,635,392,26,1508,21,8,38.1,13,61.9,641,2549,1376,22,29,5,16,14,770,81,19/20
James Tarkowski,eng ENG,DF,Burnley,26,1992,38,1836,306,864,876,104,72,1836,13,13,100,0,0,700,3154,1370,2,4,0,17,4,798,2,19/20
Charlie Taylor,eng ENG,DF,Burnley,25,1993,21.6,1346,100,406,616,341,9,1346,40,19,47.5,21,52.5,529,4398,1938,61,34,5,22,11,615,46,19/20
Neil Taylor,wls WAL,DF,Aston Villa,30,1989,12.1,634,59,231,292,114,5,634,2,2,100,0,0,252,991,547,7,5,0,5,2,327,25,19/20
Nathan Tella,eng ENG,FW,Southampton,20,1999,0,2,0,0,1,1,1,2,0,0,,0,,1,3,3,1,0,1,0,0,2,1,19/20
Alexander Tettey,no NOR,MFDF,Norwich City,33,1986,26,1537,119,534,871,142,11,1537,20,15,75,5,25,924,4306,1928,19,17,1,18,8,957,12,19/20
Jordan Thomas,eng ENG,FW,Norwich City,18,2001,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,19/20
Luke Thomas,eng ENG,MFDF,Leicester City,18,2001,3,223,5,38,106,82,5,223,3,3,100,0,0,116,488,219,6,2,2,7,3,149,16,19/20
Max Thompson,eng ENG,FW,Burnley,17,2002,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,19/20
Youri Tielemans,be BEL,MF,Leicester City,22,1997,31.4,2177,27,320,1183,690,52,2177,48,29,60.4,19,39.6,1312,4999,2517,46,44,12,47,27,1615,123,19/20
Kieran Tierney,sct SCO,DFMF,Arsenal,22,1997,11,676,40,227,261,196,14,676,15,12,80,3,20,355,1728,813,26,12,8,11,5,390,67,19/20
James Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,883,130,563,297,32,21,883,2,1,50,1,50,354,1670,960,1,2,0,5,1,464,4,19/20
Fikayo Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1322,119,677,597,55,10,1322,12,9,75,3,25,911,4427,2230,14,15,0,11,4,972,4,19/20
Lucas Torreira,uy URU,MF,Arsenal,23,1996,16.8,1094,55,286,629,188,25,1094,23,17,73.9,6,26.1,605,3024,1280,13,14,3,18,9,719,20,19/20
Cenk Tosun,tr TUR,FW,Crystal Palace,28,1991,2,66,2,10,30,27,7,66,6,6,100,0,0,41,257,100,5,1,3,3,5,54,11,19/20
Cenk Tosun,tr TUR,FW,Everton,28,1991,3.2,90,1,3,24,63,27,90,1,1,100,0,0,57,205,60,2,2,0,8,3,71,27,19/20
Andros Townsend,eng ENG,FWMF,Crystal Palace,28,1991,14.4,642,16,110,264,288,17,642,53,38,71.7,15,28.3,405,3221,1405,56,46,9,32,35,407,77,19/20
